ID,Group,Feature_1,Feature_2,Feature_3
ID202,A,2357.38744673307,421.0234860627299,4975.008782220813
ID535,B,2560.6165090611457,416.6358107189738,5126.797016982462
ID960,A,2351.3229217299663,394.5589312977333,5085.502258809548
ID370,B,2531.6426073049083,392.4610080909065,5063.694798387955
ID206,B,2544.465518566696,386.5600178977825,5098.369517457199
ID171,C,2400.464463607598,386.0367820870989,-2049.3917508250393
ID800,C,2589.073808377489,405.29811091761763,-2192.7853611209243
ID120,C,2328.220637623837,399.70322027177554,-1929.6407662634626
ID714,C,2529.645893399856,390.6459184760619,-2130.545557334564
ID221,C,2495.9142066403992,376.76855616815084,-2101.268468791425
ID566,A,2488.1002024269105,401.5926815173332,5445.716003196059
ID314,B,2382.2103357019428,392.95671731408,4781.905614910324
ID430,B,2406.297799560007,397.0705345662686,4807.164859089598
ID558,A,2661.88020250206,404.56992743047124,5961.232052958057
ID187,B,2621.515500887175,362.47295707918204,5250.008191999922
ID472,B,2574.20845885238,377.00088094436313,5145.978084753078
ID199,C,2593.984810352969,434.44664615207785,-2146.216752920895
ID971,C,2584.601354467127,392.40084239950573,-2197.055761808979
ID763,B,2467.6643787713792,362.2385034640371,4930.654337647395
ID230,A,2504.760355181435,378.2508973072562,5635.650338458535
ID761,A,2352.7491621958993,437.26701052962153,4862.754941280377
ID408,C,2491.0304373192475,389.4550380959524,-2098.5882500794955
ID869,C,2618.3414249539187,417.38522867345733,-2220.8819882927874
ID443,A,2433.9292751742864,401.8167699750581,5314.539647872302
ID591,C,2602.3141204687226,392.7254944375154,-2195.1100027963657
ID513,A,2509.158573869376,411.6316820614464,5502.318597695866
ID905,A,2361.462813433027,364.2346498696557,5279.275555728159
ID485,A,2389.268048665369,378.38301070215095,5262.333289730146
ID291,A,2591.9302869707753,392.6147348179066,5820.74098514472
ID376,C,2555.2524085258383,379.8564340259559,-2186.412079646544
ID260,C,2510.1764072987626,391.28833317244045,-2099.9516240416847
ID559,B,2472.5968185752054,412.8056956852424,4931.97995369468
ID413,C,2521.0567977628584,401.9820508200397,-2132.8646055536965
ID121,C,2588.0296249253247,419.95925553264385,-2187.388106837041
ID352,C,2647.5853280487286,402.93062926527614,-2250.5152566386087
ID847,A,2652.3684199440604,414.8869124724179,5874.396963572689
ID956,B,2537.1959900758497,399.03894549807256,5059.252190881628
ID660,A,2482.806830963548,391.14586774960327,5516.56886339355
ID574,B,2514.6248007818854,422.2085208331283,5035.608169920411
ID158,A,2552.212035725508,389.359745680959,5714.78419325001
ID610,B,2551.8066943845092,405.1576723468645,5122.683361799994
ID781,B,2630.7986637140107,411.5334604483671,5264.672420932537
ID575,A,2711.5755721916653,412.62239056706284,6062.630601321621
ID799,A,2479.4745370385913,382.5183599466997,5505.429294472064
ID882,B,2715.5884908824464,415.77925608742396,5421.516293056772
ID289,A,2617.2239246758395,385.31567130839096,5943.158404691664
ID786,B,2489.9177009814794,412.1605548302499,4964.771368574725
ID662,A,2649.856483886508,408.02760206573646,5913.6689681868165
ID975,A,2668.5648301419164,412.27945992669845,5956.704292509283
ID666,B,2453.970455580615,381.9249471835146,4911.3650492465495
ID343,B,2673.221525248565,408.8189461410159,5351.230850442616
ID931,A,2607.5082821035962,416.28390514612255,5748.972567534657
ID604,A,2736.8559127979192,402.9009367474261,6200.6144251185
ID230,A,2457.59614180005,387.72074980593135,5453.493566440174
ID584,C,2464.6573256264005,413.79621421491987,-2063.344612150212
ID918,B,2297.333787025666,401.7087944215115,4597.552672573397
ID746,B,2557.119392056796,374.8833360425846,5092.419898905627
ID120,C,2537.525125561872,386.5571580652501,-2175.8529217428604
ID940,A,2443.700632846433,392.1055820315954,5369.593936011098
ID266,C,2491.8149268511943,422.5872743145948,-2062.7070977092626
ID373,B,2368.8778989824887,419.9527462945932,4757.323811291828
ID487,A,2619.8444952831687,419.90452796585015,5789.048346816381
ID700,B,2451.030052547169,403.485404165258,4917.8984331423235
ID415,C,2800.0,413.703921876688,-2377.5700891905353
ID113,B,2482.4398699288968,382.88830886971164,4966.7993181270795
ID341,C,2424.038115895169,400.10204647589154,-2042.310806177478
ID876,B,2458.768688126514,406.77449052474395,4915.784936984126
ID445,C,2358.803902345575,383.8765141403632,-1959.442867190113
ID664,B,2548.227189070294,403.1486813446281,5107.233760412924
ID997,C,2458.010030022088,425.29958778706515,-2048.1464519952183
ID439,B,2613.125279039774,408.3815467684094,5233.61886584665
ID191,A,2472.5252504825585,413.7631780999618,5355.100574690279
ID466,A,2638.444211168565,363.2138961485161,6103.4618342044905
ID554,A,2575.745574931704,423.36953273729387,5610.054794444115
ID527,A,2502.8596776718346,397.20816478371745,5530.525216700246
ID608,A,2658.023258735082,388.46970528894934,6040.089006227448
ID875,C,2595.229346103721,397.380432222851,-2205.546419066047
ID134,B,2794.6212826663227,377.72466762578654,5594.70273406923
ID305,C,2459.0544755021797,415.71913092628216,-2045.6080862648641
ID180,C,2507.661610545846,394.9690641583931,-2130.539352800408
ID661,B,2656.870901101093,388.92053781960897,5307.002517781728
ID971,C,2345.6462188164887,397.4791740146745,-1966.9313210259593
ID487,C,2631.694356323256,416.7702348186421,-2203.162999083773
ID101,B,2543.930275768147,401.97187601171834,5092.131224066946
ID489,A,2411.178924455275,378.854593456998,5334.997918746364
ID665,A,2363.696034144888,406.97471244611626,5073.260796323546
ID205,A,2432.7510526869714,386.06530068516065,5368.742545526084
ID871,A,2271.5180427674427,367.65848452937774,4959.087032583838
ID921,A,2451.0460556308494,422.44010819075766,5235.663883456554
